wavelength_nm; Transmission
1315; 83.99972534
1314; 84.03678894
1313; 83.97926331
1312; 83.98395538
1311; 84.05323029
1310; 84.09002686
1309; 84.06188202
1308; 84.07380676
1307; 84.05896759
1306; 84.10896301
1305; 84.25141907
1304; 84.0904541
1303; 84.15294647
1302; 84.11575317
1301; 84.18939209
1300; 84.21114349
1299; 84.10170746
1298; 84.16603088
1297; 84.05010223
1296; 84.16744232
1295; 84.04286957
1294; 84.11811829
1293; 84.14815521
1292; 84.09864807
1291; 84.03870392
1290; 84.07579803
1289; 84.07035828
1288; 84.06134033
1287; 84.06391144
1286; 84.05550385
1285; 84.05866241
1284; 84.04368591
1283; 83.98603821
1282; 83.8948822
1281; 83.91716766
1280; 83.89422607
1279; 83.93370819
1278; 83.87523651
1277; 83.82514191
1276; 83.66851044
1275; 83.7502594
1274; 83.61736298
1273; 83.59727478
1272; 83.61965179
1271; 83.63855743
1270; 83.58480072
1269; 83.47628021
1268; 83.35897827
1267; 83.44696808
1266; 83.34695435
1265; 83.33013916
1264; 83.23340607
1263; 83.21925354
1262; 83.11903381
1261; 83.10004425
1260; 83.07493591
1259; 83.01500702
1258; 82.97457886
1257; 83.10308838
1256; 82.91312408
1255; 82.92573547
1254; 82.84088898
1253; 82.86158752
1252; 82.64432526
1251; 82.73094177
1250; 82.69319153
1249; 82.71328735
1248; 82.50245667
1247; 82.49290466
1246; 82.47992706
1245; 82.50131226
1244; 82.37997437
1243; 82.41377258
1242; 82.36398315
1241; 82.38578033
1240; 82.32475281
1239; 82.23695374
1238; 82.16453552
1237; 82.21128845
1236; 82.09918213
1235; 82.03141785
1234; 82.08760834
1233; 81.94721222
1232; 81.9803009
1231; 82.02605438
1230; 81.9706955
1229; 81.95169067
1228; 81.97096252
1227; 81.90496063
1226; 81.90999603
1225; 81.8314209
1224; 81.8172226
1223; 81.82974243
1222; 81.83742523
1221; 81.79763794
1220; 81.71805573
1219; 81.71929932
1218; 81.68670654
1217; 81.80101776
1216; 81.70848846
1215; 81.73777008
1214; 81.84216309
1213; 81.79805756
1212; 81.76992035
1211; 81.81000519
1210; 81.81001282
1209; 81.96513367
1208; 81.83135223
